"","x","y","N","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An"
"43",42.5,499.5,4,4807,3427,4,56,29,58,16,777,6844,47,70.0017896085991
"44",43.5,499.5,4,4714,4548,5,53,20,90,2,513,5928,49,92.7138708961966
"45",44.5,499.5,4,5389,4229,5,62,23,47,5,307,6215,61,86.250754098031
"121",120.5,499.5,4,5028,3697,7,64,23,56,6,564,6537,40,75.4721392496797
"122",121.5,499.5,4,5185,3970,8,45,20,58,8,514,6475,31,81.0032705534389
"123",122.5,499.5,4,5244,3799,6,54,21,54,7,549,6463,60,77.5387157807546
"219",218.5,499.5,4,4836,3921,3,60,34,82,11,503,6564,69,80.0105033963539
"220",219.5,499.5,4,5202,3651,2,60,21,47,9,550,6779,52,74.5401537552734
"399",398.5,499.5,4,5188,3935,7,56,22,44,5,437,6342,38,80.2941511555211
"429",428.5,499.5,4,5126,3900,4,40,19,49,4,542,6493,46,79.5850317576032
"430",429.5,499.5,4,5145,4045,7,45,20,37,4,462,6466,56,82.5228121204058
"593",92.5,498.5,4,5035,3763,11,77,29,63,8,528,6547,41,76.8093358286105
"594",93.5,498.5,4,5269,3810,5,45,15,42,6,487,6318,40,77.761581877243
"621",120.5,498.5,4,5094,3655,9,77,32,49,11,596,6543,49,74.6211959721783
"720",219.5,498.5,4,5184,3800,6,51,21,42,6,530,6374,50,77.5589763349808
"813",312.5,498.5,4,5270,4072,9,40,8,40,10,511,6444,40,83.0698470845138
"928",427.5,498.5,4,4985,3736,10,90,40,64,10,487,6745,50,76.2623008645024
"929",428.5,498.5,4,5224,3988,0,58,21,60,7,440,6347,52,81.367960529511
"1092",91.5,497.5,4,4910,3775,6,83,41,124,9,508,6709,59,77.0524624793252
"1093",92.5,497.5,4,5215,3841,9,54,22,50,7,538,6471,40,78.389659058256
"1094",93.5,497.5,4,5198,3986,3,32,22,43,7,426,6257,60,81.3274394210585
"1121",120.5,497.5,4,4884,3526,4,56,23,75,14,567,6682,65,72.0075844769953
"1122",121.5,497.5,4,5133,3807,5,41,18,46,8,498,6465,31,77.7008002145644
"1312",311.5,497.5,4,5260,3985,6,45,15,51,6,527,6415,48,81.3071788668323
"1313",312.5,497.5,4,5335,3911,5,46,17,53,11,509,6215,47,79.8078978540917
"1314",313.5,497.5,4,5309,3922,5,47,18,47,9,445,6242,45,80.0307639505802
"1428",427.5,497.5,4,5129,3896,4,44,17,44,3,501,6447,49,79.5039895406983
"1429",428.5,497.5,4,5144,4101,9,53,23,55,16,447,6312,47,83.6574031570743
"1811",310.5,496.5,4,5182,3962,6,49,20,47,9,438,6434,42,80.8411861196291
"1813",312.5,496.5,4,5051,3872,4,56,32,75,11,523,6366,62,79.0177362392689
"1814",313.5,496.5,4,5155,3964,4,51,19,78,7,447,6146,42,80.8817072280816
"1815",314.5,496.5,4,5222,3837,10,56,22,55,7,544,6459,58,78.3086168413511
"1927",426.5,496.5,4,5238,3987,7,46,23,39,7,473,6333,45,81.3476999752848
"1928",427.5,496.5,4,5143,3914,7,55,29,83,8,431,6284,44,79.8686795167704
"2312",311.5,495.5,4,4922,3645,5,45,21,54,12,647,6507,45,74.418590429916
"2313",312.5,495.5,4,5162,4079,2,44,27,51,6,496,6354,43,83.2116709640974
"2314",313.5,495.5,4,5206,4048,7,45,11,34,3,400,6316,54,82.5835937830844
"2335",334.5,495.5,4,5014,3512,2,96,39,58,5,681,6794,59,71.7239367178282
"2336",335.5,495.5,4,5007,3721,5,70,26,39,7,544,6518,52,75.9583925511091
"2383",382.5,495.5,4,5144,3673,2,42,25,51,7,639,6562,44,74.9858859482503
"2384",383.5,495.5,4,5029,3608,5,48,24,42,4,680,6709,53,73.6689499235457
"2427",426.5,495.5,4,5163,3883,4,42,19,32,8,469,6442,47,79.2406023357574
"2428",427.5,495.5,4,5244,3972,4,41,11,35,7,443,6261,51,81.0437916618914
"2810",309.5,494.5,4,5040,3976,2,54,26,55,8,445,6368,39,81.1248338787963
"2811",310.5,494.5,4,5210,3842,6,42,18,46,7,518,6455,47,78.4099196124822
"2812",311.5,494.5,4,5265,3640,6,55,28,47,10,592,6503,60,74.3172876587849
"2813",312.5,494.5,4,5252,4029,7,46,21,45,7,399,6254,37,82.1986432527862
"2835",334.5,494.5,4,5290,3970,6,34,23,45,6,456,6414,49,81.0032705534389
"2836",335.5,494.5,4,5165,3898,5,45,12,33,4,452,6420,38,79.5445106491508
"2837",336.5,494.5,4,5143,3955,4,40,29,41,10,520,6419,43,80.6993622400456
"2882",381.5,494.5,4,5166,3860,7,43,27,67,4,539,6554,53,78.7746095885543
"2883",382.5,494.5,4,5217,4005,3,40,20,57,6,491,6379,43,81.7123899513568
"2884",383.5,494.5,4,5250,3864,6,34,23,65,17,445,6396,61,78.8556518054591
"2927",426.5,494.5,4,5202,4126,5,49,13,35,8,424,6293,58,84.1639170127299
"2928",427.5,494.5,4,5197,3915,8,60,26,51,7,443,6384,40,79.8889400709966
"3309",308.5,493.5,4,5177,3921,9,47,22,58,10,460,6314,36,80.0105033963539
"3311",310.5,493.5,4,5150,3699,6,45,13,58,9,641,6511,42,75.5126603581321
"3312",311.5,493.5,4,5304,4041,10,48,19,39,1,391,6382,51,82.4417699035009
"3313",312.5,493.5,4,5233,4109,6,43,14,51,7,474,6266,50,83.8194875908841
"3333",332.5,493.5,4,4947,3790,8,54,27,49,8,604,6100,56,77.3563707927186
"3334",333.5,493.5,4,5278,3904,6,36,23,51,4,438,6284,49,79.6660739745081
"3335",334.5,493.5,4,5373,3839,1,35,10,42,6,522,6453,54,78.3491379498035
"3336",335.5,493.5,4,5157,3744,9,65,30,102,10,533,6370,57,76.4243852983122
"3381",380.5,493.5,4,5170,3717,7,45,24,39,6,691,6592,45,75.8773503342042
"3382",381.5,493.5,4,5111,4051,6,44,22,47,11,398,6262,46,82.6443754457631
"3383",382.5,493.5,4,4984,3643,3,51,29,78,8,551,6445,55,74.3780693214636
"3384",383.5,493.5,4,4817,3718,4,40,15,62,12,653,6614,47,75.8976108884304
"3426",425.5,493.5,4,5250,4064,8,47,15,35,3,411,6279,49,82.907762650704
"3427",426.5,493.5,4,5195,4081,6,50,21,49,8,459,6271,43,83.2521920725498
"3428",427.5,493.5,4,5126,4017,6,45,18,65,11,462,6430,40,81.9555166020715
"3808",307.5,492.5,4,5203,3952,7,43,16,59,7,470,6426,50,80.6385805773669
"3810",309.5,492.5,4,5244,4034,5,38,21,50,6,445,6261,48,82.2999460239173
"3811",310.5,492.5,4,5210,4094,9,35,17,33,5,434,6277,54,83.5155792774908
"3812",311.5,492.5,4,5232,4093,4,47,14,46,7,457,6299,45,83.4953187232645
