"","x","y","N","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An"
"22",21.5,499.5,2,5242,3864,6,33,24,44,6,632,6659,55,78.8556518054591
"23",22.5,499.5,2,5196,3935,5,40,26,48,8,511,6588,43,80.2941511555211
"24",23.5,499.5,2,5017,3965,6,45,17,41,7,471,6425,47,80.9019677823078
"25",24.5,499.5,2,5264,3926,4,51,24,39,5,500,6524,46,80.1118061674851
"26",25.5,499.5,2,5167,3852,6,49,28,60,7,548,6529,45,78.6125251547445
"28",27.5,499.5,2,5013,3862,4,70,27,68,14,537,6591,47,78.8151306970067
"176",175.5,499.5,2,5418,4144,4,42,14,39,4,440,6487,46,84.528606988802
"177",176.5,499.5,2,5258,3938,8,41,27,43,8,533,6446,41,80.3549328181998
"178",177.5,499.5,2,5108,3962,5,38,18,29,7,497,6541,54,80.8411861196291
"180",179.5,499.5,2,5062,3869,3,56,32,63,4,514,6665,47,78.9569545765903
"354",353.5,499.5,2,4977,3752,4,40,28,46,10,433,6234,44,76.586469732122
"355",354.5,499.5,2,5310,3984,6,27,25,46,8,436,6301,49,81.2869183126061
"356",355.5,499.5,2,5273,4023,2,38,16,36,10,432,6439,44,82.0770799274288
"357",356.5,499.5,2,5162,3939,5,39,17,40,13,458,6566,39,80.375193372426
"358",357.5,499.5,2,5075,4042,4,49,20,50,4,425,6280,62,82.4620304577271
"359",358.5,499.5,2,5342,4003,5,43,22,42,7,467,6553,38,81.6718688429043
"360",359.5,499.5,2,5098,3911,6,56,26,42,3,553,6461,61,79.8078978540917
"361",360.5,499.5,2,5192,4079,4,47,21,44,9,439,6419,37,83.2116709640974
"522",21.5,498.5,2,5116,3640,9,40,30,54,8,676,6588,57,74.3172876587849
"676",175.5,498.5,2,5127,4109,4,52,14,53,9,476,6513,55,83.8194875908841
"677",176.5,498.5,2,5298,4059,5,38,20,50,9,467,6427,52,82.8064598795729
"678",177.5,498.5,2,5243,3889,4,39,21,46,7,485,6535,55,79.3621656611148
