"x","y","X","N","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An","Labels","Zone"
1.5,140.5,179502,4,4866,3572,1,87,38,78,9,616,6826,66,72.9395699714016,"SK394AZone9a",3
1.5,141.5,179002,4,5204,3875,6,49,18,54,5,501,6462,47,79.0785179019476,"SK394AZone9a",3
1.5,142.5,178502,4,5248,3866,4,47,22,61,9,508,6400,45,78.8961729139116,"SK394AZone9a",3
10.5,136.5,181511,4,5111,3966,1,41,22,42,7,447,6340,55,80.922228336534,"SK394AZone9a",3
10.5,137.5,181011,4,5228,3972,5,37,20,52,8,488,6335,57,81.0437916618914,"SK394AZone9a",3
10.5,138.5,180511,4,5197,3844,3,46,28,62,7,466,6208,56,78.4504407209347,"SK394AZone9a",3
10.5,139.5,180011,4,5145,3890,7,42,14,55,7,441,6280,49,79.382426215341,"SK394AZone9a",3
10.5,140.5,179511,4,5425,4027,3,49,17,40,4,441,6202,49,82.1581221443337,"SK394AZone9a",3
10.5,141.5,179011,4,5367,4172,3,36,16,39,5,368,6271,41,85.0959025071363,"SK394AZone9a",3
10.5,142.5,178511,4,5277,4034,5,50,12,48,7,419,6317,40,82.2999460239173,"SK394AZone9a",3
10.5,144.5,177511,4,5189,3833,3,46,17,55,8,479,6402,61,78.2275746244462,"SK394AZone9a",3
10.5,145.5,177011,4,5344,3958,6,36,14,50,9,436,6389,60,80.7601439027242,"SK394AZone9a",3
10.5,146.5,176511,4,5278,3975,8,50,21,70,3,447,6287,57,81.10457332457,"SK394AZone9a",3
10.5,147.5,176011,4,5527,4151,6,43,18,48,9,413,6305,52,84.6704308683856,"SK394AZone9a",3
10.5,148.5,175511,4,5271,4123,7,37,21,43,8,397,6377,53,84.1031353500513,"SK394AZone9a",3
10.5,149.5,175011,4,5199,4127,8,40,26,45,7,430,6343,50,84.1841775669562,"SK394AZone9a",3
10.5,150.5,174511,4,5357,4209,4,37,17,44,7,413,6306,44,85.8455430135066,"SK394AZone9a",3
10.5,151.5,174011,4,5451,4132,3,42,16,48,8,379,6289,55,84.2854803380873,"SK394AZone9a",3
10.5,152.5,173511,4,5223,4050,2,39,15,43,11,372,6276,43,82.6241148915369,"SK394AZone9a",3
10.5,153.5,173011,4,5286,3939,5,42,10,51,10,426,6303,49,80.375193372426,"SK394AZone9a",3
10.5,154.5,172511,4,5146,3842,2,38,21,46,6,455,6375,38,78.4099196124822,"SK394AZone9a",3
10.5,155.5,172011,4,5288,3880,2,52,21,45,13,509,6414,57,79.1798206730787,"SK394AZone9a",3
10.5,156.5,171511,4,4824,3597,9,59,30,56,8,647,6660,34,73.4460838270572,"SK394AZone9a",3
10.5,34.5,232511,4,5239,4072,2,54,17,46,3,434,6188,35,83.0698470845138,"SK394AZone1a",1
10.5,35.5,232011,4,5329,4056,5,50,25,53,3,382,6342,45,82.7456782168942,"SK394AZone1a",1
10.5,36.5,231511,4,5246,4096,8,49,20,45,7,416,6184,55,83.5561003859432,"SK394AZone1a",1
10.5,37.5,231011,4,5329,4010,6,47,17,39,9,381,6318,37,81.8136927224879,"SK394AZone1a",1
10.5,38.5,230511,4,5178,3751,2,43,18,47,6,563,6663,40,76.5662091778958,"SK394AZone1a",1
100.5,268.5,115601,4,5314,4002,5,40,19,40,8,530,6321,46,81.6516082886781,"SK394AZone17a",4
100.5,269.5,115101,4,5087,3785,10,45,21,38,10,596,6534,45,77.2550680215874,"SK394AZone17a",4
100.5,270.5,114601,4,5184,3801,3,39,16,48,3,552,6451,51,77.579236889207,"SK394AZone17a",4
100.5,271.5,114101,4,5206,3838,4,47,18,41,15,471,6382,49,78.3288773955773,"SK394AZone17a",4
100.5,277.5,111101,4,5134,3840,10,43,15,52,3,544,6500,46,78.3693985040298,"SK394AZone17a",4
100.5,278.5,110601,4,5270,3789,7,40,17,30,5,539,6466,50,77.3361102384923,"SK394AZone17a",4
100.5,279.5,110101,4,5228,3867,8,53,15,45,4,531,6614,33,78.9164334681378,"SK394AZone17a",4
100.5,280.5,109601,4,5180,3863,4,55,15,42,5,518,6380,37,78.8353912512329,"SK394AZone17a",4
100.5,281.5,109101,4,5326,3929,9,50,28,60,6,437,6372,46,80.1725878301637,"SK394AZone17a",4
100.5,282.5,108601,4,5267,3933,6,45,28,42,3,433,6330,56,80.2536300470686,"SK394AZone17a",4
100.5,283.5,108101,4,5188,3789,7,51,19,50,7,535,6402,49,77.3361102384923,"SK394AZone17a",4
100.5,432.5,33601,4,5268,4023,5,30,16,29,10,405,6338,62,82.0770799274288,"SK394AZone5a",4
100.5,433.5,33101,4,5131,4108,5,36,22,46,6,395,6184,40,83.7992270366579,"SK394AZone5a",4
101.5,268.5,115602,4,5210,3939,5,39,20,40,7,464,6399,55,80.375193372426,"SK394AZone17a",4
101.5,269.5,115102,4,5282,3995,8,38,14,39,6,480,6399,50,81.5097844090946,"SK394AZone17a",4
101.5,270.5,114602,4,5175,3763,4,51,18,61,5,535,6426,50,76.8093358286105,"SK394AZone17a",4
101.5,271.5,114102,4,5152,3751,6,41,16,44,7,572,6537,51,76.5662091778958,"SK394AZone17a",4
101.5,272.5,113602,4,5046,3815,5,47,21,42,6,541,6440,59,77.8628846483741,"SK394AZone17a",4
101.5,273.5,113102,4,5069,3763,6,47,41,65,10,488,6525,50,76.8093358286105,"SK394AZone17a",4
101.5,274.5,112602,4,5092,3824,6,41,19,46,9,554,6443,47,78.0452296364102,"SK394AZone17a",4
101.5,275.5,112102,4,5129,3721,6,68,27,79,9,540,6490,55,75.9583925511091,"SK394AZone17a",4
101.5,276.5,111602,4,5119,3751,5,53,19,48,6,559,6457,44,76.5662091778958,"SK394AZone17a",4
101.5,277.5,111102,4,5286,4105,6,44,23,35,6,439,6383,43,83.7384453739792,"SK394AZone17a",4
101.5,278.5,110602,4,5049,3788,7,58,20,35,4,539,6459,45,77.3158496842661,"SK394AZone17a",4
101.5,281.5,109102,4,4830,3563,4,66,35,82,12,616,6535,46,72.7572249833656,"SK394AZone17a",4
101.5,282.5,108602,4,5196,3858,3,43,20,51,8,536,6406,40,78.7340884801018,"SK394AZone17a",4
101.5,283.5,108102,4,5044,3720,7,78,21,63,6,640,6679,56,75.9381319968828,"SK394AZone17a",4
102.5,268.5,115603,4,5206,3888,4,60,21,41,7,582,6545,42,79.3419051068885,"SK394AZone17a",4
102.5,269.5,115103,4,5139,3922,10,46,26,55,7,552,6492,43,80.0307639505802,"SK394AZone17a",4
102.5,270.5,114603,4,5196,3839,9,46,12,35,8,541,6467,42,78.3491379498035,"SK394AZone17a",4
102.5,271.5,114103,4,5124,3826,8,50,15,40,11,572,6516,55,78.0857507448626,"SK394AZone17a",4
102.5,272.5,113603,4,5168,3796,4,42,16,62,6,570,6409,52,77.4779341180759,"SK394AZone17a",4
102.5,273.5,113103,4,5160,3880,4,40,17,42,5,487,6329,41,79.1798206730787,"SK394AZone17a",4
102.5,274.5,112603,4,5185,3880,3,47,20,62,7,544,6480,48,79.1798206730787,"SK394AZone17a",4
102.5,275.5,112103,4,5141,3848,6,60,22,57,7,490,6362,52,78.5314829378396,"SK394AZone17a",4
102.5,276.5,111603,4,5280,3955,6,43,21,41,6,476,6476,48,80.6993622400456,"SK394AZone17a",4
102.5,277.5,111103,4,5056,3897,10,58,30,66,3,424,6157,45,79.5242500949246,"SK394AZone17a",4
102.5,278.5,110603,4,5078,3954,3,53,20,53,11,442,6203,50,80.6791016858193,"SK394AZone17a",4
102.5,279.5,110103,4,5253,3764,4,46,21,42,4,488,6402,50,76.8295963828367,"SK394AZone17a",4
102.5,280.5,109603,4,5092,3939,11,44,22,40,7,554,6529,51,80.375193372426,"SK394AZone17a",4
102.5,281.5,109103,4,5101,3695,1,44,17,46,4,645,6569,30,75.4316181412272,"SK394AZone17a",4
102.5,282.5,108603,4,5082,3949,4,44,18,55,5,487,6444,51,80.5777989146882,"SK394AZone17a",4
102.5,283.5,108103,4,5108,3590,6,55,26,72,10,590,6726,51,73.3042599474737,"SK394AZone17a",4
103.5,268.5,115604,4,5043,3856,2,37,27,38,9,554,6345,47,78.6935673716494,"SK394AZone17a",4
103.5,269.5,115104,4,5254,3818,4,57,29,46,6,581,6503,48,77.9236663110528,"SK394AZone17a",4
103.5,270.5,114604,4,5119,3968,7,46,23,60,6,548,6678,38,80.9627494449865,"SK394AZone17a",4
103.5,271.5,114104,4,5215,3907,6,41,23,33,9,512,6362,49,79.7268556371868,"SK394AZone17a",4
103.5,272.5,113604,4,5191,3988,0,48,26,48,11,461,6491,51,81.367960529511,"SK394AZone17a",4
103.5,273.5,113104,4,5219,3859,5,40,26,70,10,516,6368,47,78.754349034328,"SK394AZone17a",4
103.5,274.5,112604,4,5222,3942,1,47,19,43,4,480,6436,50,80.4359750351046,"SK394AZone17a",4
103.5,276.5,111604,4,5411,4009,2,41,15,53,7,414,6321,39,81.7934321682617,"SK394AZone17a",4
103.5,277.5,111104,4,5321,3986,5,48,23,39,8,438,6364,48,81.3274394210585,"SK394AZone17a",4
103.5,278.5,110604,4,5309,3899,1,45,11,51,14,525,6310,46,79.564771203377,"SK394AZone17a",4
