"ID","labels"
1,"SK378Zone1a"
2,"SK378Zone1b"
3,"SK378Zone2a"
4,"SK378Zone2b"
5,"SK378Zone3a"
6,"SK378Zone3b"
7,"SK378Zone4a"
8,"SK378Zone5a"
9,"SK378Zone6a"
10,"SK378Zone7a"
11,"SK378Zone8a"
12,"SK378Zone8b"
13,"SK378Zone9a"
14,"SK378Zone10a"
15,"SK378Zone11a"
16,"SK378Zone12a"
17,"SK378Zone13a"
18,"SK378Zone14a"
19,"SK378Zone14b"
20,"SK378Zone15a"
21,"SK378Zone16a"
22,"SK378Zone17a"
23,"SK378Zone17b"
24,"SK378Zone17c"
25,"SK378Zone18a"
26,"SK378Zone18b"
27,"SK378Zone19a"
28,"SK378Zone19b"
29,"SK378Zone20a"
30,"SK378Zone21a"
31,"SK378Zone22a"
32,"SK378Zone23a"
33,"SK378Zone23b"
34,"SK378Zone24a"
35,"SK378Zone24b"
36,"SK378Zone25a"
37,"SK378Zone26a"
38,"SK378Zone27a"
39,"SK378Zone28a"
40,"SK378Zone29a"
41,"SK378Zone29b"
42,"SK378Zone30a"
43,"SK378Zone31a"
44,"SK378Zone32a"
45,"SK378Zone33a"
46,"SK378Zone34a"
47,"SK378Zone35a"
48,"SK378Zone36a"
49,"SK378Zone37a"
50,"SK378Zone38a"
51,"SK378Zone39a"
52,"SK378Zone40a"
53,"SK378Zone41a"
54,"SK378Zone42a"
55,"SK378Zone43a"
56,"SK378Zone44a"
57,"SK378Zone45a"
58,"SK378Zone45b"
59,"SK378Zone46a"
60,"SK378Zone47a"
61,"SK378Zone48a"
62,"SK378Zone49a"
63,"SK378Zone50a"
64,"SK378Zone51a"
65,"SK378Zone52a"
66,"SK378Zone53a"
67,"SK378Zone54a"
68,"SK378Zone55a"
69,"SK378Zone56a"
70,"SK378Zone57a"
71,"SK378Zone58a"
72,"SK378Zone59a"
73,"SK378Zone60a"
74,"SK378Zone61a"
75,"SK378Zone62a"
76,"SK378Zone63a"
77,"SK378Zone64a"
78,"SK378Zone65a"
79,"SK378Zone66a"
80,"SK378Zone67a"
81,"SK378Zone68a"
82,"SK378Zone68b"
83,"SK378Zone68c"
84,"SK378Zone69a"
85,"SK378Zone70a"
86,"SK378Zone71a"
87,"SK378Zone72a"
88,"SK378Zone73a"
89,"SK378Zone74a"
