"ID","labels"
1,"SK392BZone1a"
2,"SK392BZone2a"
3,"SK392BZone2b"
4,"SK392BZone3a"
5,"SK392BZone3b"
6,"SK392BZone4a"
7,"SK392BZone4b"
8,"SK392BZone5a"
9,"SK392BZone6a"
10,"SK392BZone7a"
11,"SK392BZone8a"
12,"SK392BZone9a"
13,"SK392BZone10a"
14,"SK392BZone11a"
15,"SK392BZone12a"
16,"SK392BZone13a"
17,"SK392BZone13b"
18,"SK392BZone14a"
19,"SK392BZone15a"
20,"SK392BZone15b"
21,"SK392BZone16a"
22,"SK392BZone17a"
23,"SK392BZone18a"
24,"SK392BZone19a"
25,"SK392BZone19b"
26,"SK392BZone20a"
27,"SK392BZone20b"
28,"SK392BZone21a"
29,"SK392BZone22a"
30,"SK392BZone23a"
31,"SK392BZone23b"
32,"SK392BZone24a"
33,"SK392BZone25a"
34,"SK392BZone26a"
35,"SK392BZone26b"
36,"SK392BZone27a"
37,"SK392BZone28a"
38,"SK392BZone29a"
39,"SK392BZone30a"
40,"SK392BZone31a"
41,"SK392BZone32a"
42,"SK392BZone33a"
43,"SK392BZone34a"
44,"SK392BZone35a"
45,"SK392BZone36a"
46,"SK392BZone37a"
47,"SK392BZone38a"
48,"SK392BZone38b"
49,"SK392BZone38c"
50,"SK392BZone39a"
51,"SK392BZone40a"
