"ID","labels"
1,"SK392CZone1a"
2,"SK392CZone1b"
3,"SK392CZone2a"
4,"SK392CZone2b"
5,"SK392CZone3a"
6,"SK392CZone3b"
7,"SK392CZone4a"
8,"SK392CZone4b"
9,"SK392CZone5a"
10,"SK392CZone5b"
11,"SK392CZone6a"
12,"SK392CZone6b"
13,"SK392CZone7a"
14,"SK392CZone8a"
15,"SK392CZone9a"
16,"SK392CZone10a"
17,"SK392CZone10b"
18,"SK392CZone11a"
19,"SK392CZone11b"
20,"SK392CZone12a"
21,"SK392CZone13a"
22,"SK392CZone14a"
23,"SK392CZone14b"
24,"SK392CZone15a"
25,"SK392CZone16a"
26,"SK392CZone17a"
27,"SK392CZone18a"
28,"SK392CZone19a"
29,"SK392CZone20a"
30,"SK392CZone21a"
31,"SK392CZone21b"
32,"SK392CZone21c"
33,"SK392CZone22a"
34,"SK392CZone23a"
35,"SK392CZone23b"
