"ID","labels"
1,"SK403Zone1a"
2,"SK403Zone1b"
3,"SK403Zone2a"
4,"SK403Zone2b"
5,"SK403Zone3a"
6,"SK403Zone3b"
7,"SK403Zone4a"
8,"SK403Zone4b"
9,"SK403Zone5a"
10,"SK403Zone5b"
11,"SK403Zone6a"
12,"SK403Zone6b"
13,"SK403Zone7a"
14,"SK403Zone7b"
15,"SK403Zone8a"
16,"SK403Zone9a"
17,"SK403Zone10a"
18,"SK403Zone11a"
19,"SK403Zone12a"
20,"SK403Zone13a"
21,"SK403Zone13b"
22,"SK403Zone14a"
23,"SK403Zone15a"
24,"SK403Zone16a"
25,"SK403Zone17a"
26,"SK403Zone18a"
27,"SK403Zone19a"
28,"SK403Zone19b"
29,"SK403Zone19c"
30,"SK403Zone20a"
31,"SK403Zone21a"
32,"SK403Zone22a"
33,"SK403Zone22b"
34,"SK403Zone23a"
35,"SK403Zone24a"
36,"SK403Zone25a"
37,"SK403Zone26a"
38,"SK403Zone27a"
39,"SK403Zone28a"
40,"SK403Zone28b"
41,"SK403Zone29a"
