"","x","y","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An"
"20",19.5,249.5,4770,5043,11,109,50,32,4,149,6030,22,79
"72",71.5,249.5,4659,5229,13,79,39,24,4,133,5868,11,82
"75",74.5,249.5,4979,5963,17,56,32,39,0,56,5461,13,92
"76",75.5,249.5,5101,5937,18,70,29,35,4,61,5395,13,92
"79",78.5,249.5,5041,6107,10,49,28,50,2,45,5381,26,94
"80",79.5,249.5,5127,6052,8,57,33,30,1,53,5338,20,94
"81",80.5,249.5,5091,6021,10,58,24,42,2,64,5403,21,93
"82",81.5,249.5,5151,5981,12,54,44,35,2,58,5281,23,93
"83",82.5,249.5,4969,6071,12,40,33,39,3,51,5447,12,94
"84",83.5,249.5,4824,5975,14,53,42,35,2,44,5496,17,92
"86",85.5,249.5,4819,5598,10,91,42,26,4,66,5452,29,87
"107",106.5,249.5,4860,5329,11,100,44,38,1,131,5755,19,83
"110",109.5,249.5,4556,5308,13,108,57,39,5,128,5834,23,83
"111",110.5,249.5,4691,5558,8,104,51,44,3,89,5726,25,87
"112",111.5,249.5,4861,5669,11,83,45,31,1,82,5626,19,88
"113",112.5,249.5,4756,5562,8,101,52,38,1,109,5476,17,87
"114",113.5,249.5,4734,5516,11,93,32,41,4,109,5749,13,86
"115",114.5,249.5,4942,5684,9,88,36,30,4,98,5586,14,88
"116",115.5,249.5,4702,5551,16,89,43,36,4,101,5599,24,86
"117",116.5,249.5,4772,5531,15,101,35,43,2,98,5629,14,86
"245",244.5,249.5,4890,5706,13,82,36,40,3,73,5533,17,89
"247",246.5,249.5,4967,5906,9,59,36,27,1,51,5351,23,92
"248",247.5,249.5,4910,6035,10,55,39,33,3,48,5351,20,93
"249",248.5,249.5,4540,5378,19,100,52,47,7,116,5829,16,84
"264",13.5,248.5,4782,5306,18,100,47,34,2,130,5860,21,83
"265",14.5,248.5,5022,5634,9,93,31,33,2,90,5725,23,88
"266",15.5,248.5,4918,5614,7,107,37,33,5,89,5784,19,87
"267",16.5,248.5,4943,5718,12,67,43,40,4,94,5661,17,89
"268",17.5,248.5,4941,5783,13,89,27,35,5,98,5627,18,90
"269",18.5,248.5,5095,5685,15,70,37,41,2,89,5684,21,88
"270",19.5,248.5,4967,5563,17,107,42,28,4,83,5767,11,87
"271",20.5,248.5,4956,5548,11,85,40,40,2,95,5657,16,86
"272",21.5,248.5,5067,5722,14,85,44,26,1,89,5699,13,89
"273",22.5,248.5,4826,5734,18,89,29,48,5,86,5656,21,89
"274",23.5,248.5,4982,5768,7,85,37,36,2,78,5821,24,90
"275",24.5,248.5,4884,5846,11,100,37,30,3,100,5805,15,91
"276",25.5,248.5,5015,5551,16,98,47,27,4,98,5761,26,86
"322",71.5,248.5,4739,5429,14,96,31,32,5,94,5676,21,85
"324",73.5,248.5,5024,5923,12,52,43,27,2,56,5377,26,92
"325",74.5,248.5,5031,5802,12,55,35,31,6,54,5492,17,90
"326",75.5,248.5,5003,5949,7,51,28,41,5,60,5462,23,92
"328",77.5,248.5,5092,6054,13,60,45,23,3,44,5463,19,94
"329",78.5,248.5,4945,5936,17,66,35,32,2,50,5453,14,92
"330",79.5,248.5,4991,5995,12,63,29,43,1,48,5420,22,93
"331",80.5,248.5,5020,6009,11,62,31,34,2,40,5469,10,93
"332",81.5,248.5,5136,6060,9,53,35,24,2,58,5382,20,94
"333",82.5,248.5,4943,6013,17,62,44,23,1,46,5490,20,93
"334",83.5,248.5,5029,6006,5,48,52,41,2,49,5397,25,93
"335",84.5,248.5,5141,6088,10,48,32,45,0,60,5397,17,94
"336",85.5,248.5,5070,6029,19,58,39,31,2,61,5521,16,93
"337",86.5,248.5,4996,6118,17,84,38,27,1,52,5354,16,95
"338",87.5,248.5,4968,5712,8,76,57,34,1,84,5659,20,89
"339",88.5,248.5,4627,5157,8,80,57,29,4,151,5771,15,81
"365",114.5,248.5,4836,5687,10,81,41,34,3,84,5471,18,88
"366",115.5,248.5,4826,5698,11,109,50,38,4,91,5670,18,89
"494",243.5,248.5,4819,5384,14,102,44,34,4,128,5718,16,84
"497",246.5,248.5,4974,5953,16,69,27,38,3,53,5386,15,92
"498",247.5,248.5,5022,5964,15,68,30,28,7,46,5359,18,92
"514",13.5,247.5,4841,5196,14,80,50,46,8,145,5866,23,81
"515",14.5,247.5,4960,5725,12,95,29,37,2,70,5779,19,89
"516",15.5,247.5,4963,5712,14,92,31,33,2,97,5705,20,89
"517",16.5,247.5,4913,5710,14,81,35,37,2,82,5632,13,89
"518",17.5,247.5,4946,5560,9,75,34,29,3,88,5735,15,87
