"","x","y","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An"
"43",42.5,499.5,4807,3427,4,56,29,58,16,777,6844,47,78
"44",43.5,499.5,4714,4548,5,53,20,90,2,513,5928,49,95
"45",44.5,499.5,5389,4229,5,62,23,47,5,307,6215,61,90
"121",120.5,499.5,5028,3697,7,64,23,56,6,564,6537,40,82
"122",121.5,499.5,5185,3970,8,45,20,58,8,514,6475,31,86
"123",122.5,499.5,5244,3799,6,54,21,54,7,549,6463,60,84
"219",218.5,499.5,4836,3921,3,60,34,82,11,503,6564,69,85
"220",219.5,499.5,5202,3651,2,60,21,47,9,550,6779,52,81
"399",398.5,499.5,5188,3935,7,56,22,44,5,437,6342,38,86
"429",428.5,499.5,5126,3900,4,40,19,49,4,542,6493,46,85
"430",429.5,499.5,5145,4045,7,45,20,37,4,462,6466,56,87
"593",92.5,498.5,5035,3763,11,77,29,63,8,528,6547,41,83
"594",93.5,498.5,5269,3810,5,45,15,42,6,487,6318,40,84
"621",120.5,498.5,5094,3655,9,77,32,49,11,596,6543,49,81
"720",219.5,498.5,5184,3800,6,51,21,42,6,530,6374,50,84
"813",312.5,498.5,5270,4072,9,40,8,40,10,511,6444,40,88
"928",427.5,498.5,4985,3736,10,90,40,64,10,487,6745,50,83
"929",428.5,498.5,5224,3988,0,58,21,60,7,440,6347,52,86
"1092",91.5,497.5,4910,3775,6,83,41,124,9,508,6709,59,83
"1093",92.5,497.5,5215,3841,9,54,22,50,7,538,6471,40,84
"1094",93.5,497.5,5198,3986,3,32,22,43,7,426,6257,60,86
"1121",120.5,497.5,4884,3526,4,56,23,75,14,567,6682,65,80
"1122",121.5,497.5,5133,3807,5,41,18,46,8,498,6465,31,84
"1312",311.5,497.5,5260,3985,6,45,15,51,6,527,6415,48,86
"1313",312.5,497.5,5335,3911,5,46,17,53,11,509,6215,47,85
"1314",313.5,497.5,5309,3922,5,47,18,47,9,445,6242,45,85
"1428",427.5,497.5,5129,3896,4,44,17,44,3,501,6447,49,85
"1429",428.5,497.5,5144,4101,9,53,23,55,16,447,6312,47,88
"1811",310.5,496.5,5182,3962,6,49,20,47,9,438,6434,42,86
"1813",312.5,496.5,5051,3872,4,56,32,75,11,523,6366,62,85
"1814",313.5,496.5,5155,3964,4,51,19,78,7,447,6146,42,86
"1815",314.5,496.5,5222,3837,10,56,22,55,7,544,6459,58,84
"1927",426.5,496.5,5238,3987,7,46,23,39,7,473,6333,45,86
"1928",427.5,496.5,5143,3914,7,55,29,83,8,431,6284,44,85
"2312",311.5,495.5,4922,3645,5,45,21,54,12,647,6507,45,81
"2313",312.5,495.5,5162,4079,2,44,27,51,6,496,6354,43,88
"2314",313.5,495.5,5206,4048,7,45,11,34,3,400,6316,54,87
"2335",334.5,495.5,5014,3512,2,96,39,58,5,681,6794,59,79
"2336",335.5,495.5,5007,3721,5,70,26,39,7,544,6518,52,82
"2382",381.5,495.5,4671,3061,2,56,30,57,2,1010,7155,52,73
"2383",382.5,495.5,5144,3673,2,42,25,51,7,639,6562,44,82
"2384",383.5,495.5,5029,3608,5,48,24,42,4,680,6709,53,81
"2427",426.5,495.5,5163,3883,4,42,19,32,8,469,6442,47,85
"2428",427.5,495.5,5244,3972,4,41,11,35,7,443,6261,51,86
"2810",309.5,494.5,5040,3976,2,54,26,55,8,445,6368,39,86
"2811",310.5,494.5,5210,3842,6,42,18,46,7,518,6455,47,84
"2812",311.5,494.5,5265,3640,6,55,28,47,10,592,6503,60,81
"2813",312.5,494.5,5252,4029,7,46,21,45,7,399,6254,37,87
"2834",333.5,494.5,4965,3663,3,64,33,60,12,549,6181,44,82
"2835",334.5,494.5,5290,3970,6,34,23,45,6,456,6414,49,86
"2836",335.5,494.5,5165,3898,5,45,12,33,4,452,6420,38,85
"2837",336.5,494.5,5143,3955,4,40,29,41,10,520,6419,43,86
"2882",381.5,494.5,5166,3860,7,43,27,67,4,539,6554,53,85
"2883",382.5,494.5,5217,4005,3,40,20,57,6,491,6379,43,87
"2884",383.5,494.5,5250,3864,6,34,23,65,17,445,6396,61,85
"2927",426.5,494.5,5202,4126,5,49,13,35,8,424,6293,58,88
"2928",427.5,494.5,5197,3915,8,60,26,51,7,443,6384,40,85
"3309",308.5,493.5,5177,3921,9,47,22,58,10,460,6314,36,85
"3311",310.5,493.5,5150,3699,6,45,13,58,9,641,6511,42,82
"3312",311.5,493.5,5304,4041,10,48,19,39,1,391,6382,51,87
"3313",312.5,493.5,5233,4109,6,43,14,51,7,474,6266,50,88
"3333",332.5,493.5,4947,3790,8,54,27,49,8,604,6100,56,83
"3334",333.5,493.5,5278,3904,6,36,23,51,4,438,6284,49,85
"3335",334.5,493.5,5373,3839,1,35,10,42,6,522,6453,54,84
"3336",335.5,493.5,5157,3744,9,65,30,102,10,533,6370,57,83
"3381",380.5,493.5,5170,3717,7,45,24,39,6,691,6592,45,82
"3382",381.5,493.5,5111,4051,6,44,22,47,11,398,6262,46,87
"3383",382.5,493.5,4984,3643,3,51,29,78,8,551,6445,55,81
"3384",383.5,493.5,4817,3718,4,40,15,62,12,653,6614,47,82
"3426",425.5,493.5,5250,4064,8,47,15,35,3,411,6279,49,88
"3427",426.5,493.5,5195,4081,6,50,21,49,8,459,6271,43,88
"3428",427.5,493.5,5126,4017,6,45,18,65,11,462,6430,40,87
"3808",307.5,492.5,5203,3952,7,43,16,59,7,470,6426,50,86
"3810",309.5,492.5,5244,4034,5,38,21,50,6,445,6261,48,87
"3811",310.5,492.5,5210,4094,9,35,17,33,5,434,6277,54,88
"3812",311.5,492.5,5232,4093,4,47,14,46,7,457,6299,45,88
"3834",333.5,492.5,5071,3937,6,42,33,50,2,495,6362,42,86
"3835",334.5,492.5,5127,4016,5,43,24,47,3,500,6271,38,87
"3873",372.5,492.5,5395,4026,8,39,26,34,7,432,6275,45,87
"3874",373.5,492.5,5212,4158,8,44,22,40,8,417,6406,50,89
"3875",374.5,492.5,5238,3894,3,56,21,41,11,489,6202,47,85
"3880",379.5,492.5,5081,3457,3,51,25,49,7,740,6696,53,79
"3881",380.5,492.5,5290,4056,2,47,11,75,8,409,6212,51,87
"3882",381.5,492.5,5305,3904,7,36,14,42,4,432,6291,56,85
"3925",424.5,492.5,5011,3833,4,74,27,134,16,423,6460,58,84
"3926",425.5,492.5,5051,3872,3,39,31,40,5,481,6543,44,85
"3927",426.5,492.5,5238,3987,7,34,15,31,6,522,6350,48,86
"4237",236.5,491.5,4972,3661,1,82,31,75,8,534,6503,56,82
"4307",306.5,491.5,5094,3725,7,41,17,60,7,564,6482,57,83
"4309",308.5,491.5,5128,3905,7,57,27,113,3,452,6369,33,85
"4310",309.5,491.5,5142,3954,6,44,21,71,8,469,6338,51,86
"4311",310.5,491.5,5280,4034,9,38,20,53,10,414,6402,50,87
"4334",333.5,491.5,5260,3990,7,47,27,35,8,474,6449,45,86
"4343",342.5,491.5,5202,3679,6,53,18,44,7,529,6464,47,82
"4344",343.5,491.5,5235,3867,1,54,21,77,4,429,6353,41,85
"4345",344.5,491.5,5143,3939,3,56,20,93,5,446,6164,55,86
"4346",345.5,491.5,5171,3973,7,52,16,60,9,449,6398,39,86
"4347",346.5,491.5,5338,3968,4,35,25,50,6,453,6348,56,86
"4373",372.5,491.5,5263,4029,6,54,22,34,4,419,6380,53,87
"4375",374.5,491.5,5122,4074,4,43,23,53,9,468,6459,52,88
"4380",379.5,491.5,5265,4021,9,45,22,49,8,440,6341,40,87
"4381",380.5,491.5,5188,3911,7,53,13,47,5,526,6369,58,85
"4382",381.5,491.5,4793,3625,4,71,28,74,6,462,6106,46,81
"4427",426.5,491.5,5198,3872,2,43,19,61,11,449,6430,36,85
"4807",306.5,490.5,4958,3767,3,51,20,94,9,471,6055,63,83
"4808",307.5,490.5,5104,3783,4,57,33,74,4,621,6552,55,83
"4809",308.5,490.5,5167,4031,3,41,17,43,7,444,6427,42,87
"4810",309.5,490.5,5185,3977,5,36,26,67,9,450,6196,38,86
"4840",339.5,490.5,5206,3967,11,51,21,44,9,466,6305,45,86
"4841",340.5,490.5,5194,3790,10,44,11,37,8,551,6586,51,83
